Date,ARTIST,TITLE,Flare,,Bavo,Lennert,Vince,Mattis,Wennie,Jasper,Sander,Sienie,Femke,Kato,Daan,Sam H.,Marc,Joppe,Eef,Nancy,Benoit,Hasse,Azra,Leonie,Eliah,Tinne,Jordy,Sam V.H.,Sebastiaan,Natasha,Niels,Sara
12-3-2021,Ronnie Atkins,One Shot,,"8,5",,,,,,,,,,,,,,,,"8,5",,,,,,,,,,,,
12-3-2021,The Paper Kites,Roses,ZACHT,"8,8",,,,,"9,5",,"7,5",,9,,,9,,,,,,,,,,,,,,,,
12-3-2021,Thunder,All the right noises,,"7,5",,,,,,,,,,,,,,,,"7,5",,,,,,,,,,,,
12-3-2021,Slope,Street Heat,HARD,"7,5",,,,,"7,5",,,,,,,,,,,,,,,,,,,,,,,
14-3-2021,Captain Kaiser,The Drovers Inn,HARD,"7,8",,,,,8,,"7,5",,8,,,,,,,,,,,,,,,,,,,
19-3-2021,"Benny The Butcher, Harry Fraud",The Plugs I Met 2,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-3-2021,Justin Bieber,Justice,,"7,3","7,5",,,,,,,,,,,,,,,,,7,,,,,,,,,,
19-3-2021,Kshmr,Harmonica Andromeda,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-3-2021,Lana Del Rey,Chemtrails Over The Country Club,ZACHT,"8,0","8,5",,,,,,"6,5",,,,,9,,,,,,8,,,,,,,,,,
19-3-2021,Loretta Lynn,Still Woman Enough,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-3-2021,Ringo Starr,Zoom In (EP),, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-3-2021,Saxon,inspirations'cover album,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-3-2021,Sting,Duets,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-3-2021,Ziggy Alberts,Searching for Freedom,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-3-2021,Peet,Mignon,DANS,"7,5",,,,,"7,5",,,,,,,,,,,,,,,,,,,,,,,
